state_code,party_name,vote_share
U05,'AAAP,53.57
U05,BJP,38.51
U05,BSP,0.71
U05,CPI,0.02
U05,CPIM,0.01
U05,INC,4.26
U05,JD(U),0.91
U05,LJP,0.35
U05,NCP,0.02
U05,NOTA,0.46
U05,RJD,0.04
U05,RLD,0.01
U05,SHS,0.20
U05,﻿AIFB,0.00
U05,Other,0.91
